lock,dataset,axis,value,n_components,kl_weight,variant,seed,allocation_coherence,allocation_perplexity_mean,allocation_degenerate,edge_survival,separation_survival,reachability_survival,branch_knn_mean_r2,branch_distance_spearman
topic-transformer-alpha0p1-400ep-setty-20260908,setty,control,0.0,10,0.01,transformer,2,,,False,0.6404642958872894,0.894289280699017,1.0,0.7654656350742391,0.6200425544131347
topic-variants-400ep-setty-20260907,setty,alpha,1.0,10,,transformer,0,0.8042831495511541,2.1842650194624027,False,0.41669530758467854,0.7854189421126541,0.8376639445681762,0.6052524879430928,0.45181562590347163
topic-variants-400ep-setty-20260907,setty,control,0.0,10,,transformer,0,,,False,0.6453629457376252,0.8966297394289281,1.0,0.6258216268728485,0.6070150455771448
topic-variants-400ep-setty-20260907,setty,alpha,1.0,10,,transformer,1,0.8081829758740702,2.180495793215534,False,0.40611303615642014,0.7897097831174911,0.8376639445681762,0.33029867844974875,0.44943644739934113
topic-variants-400ep-setty-20260907,setty,control,0.0,10,,transformer,1,,,False,0.6615616969196145,0.9146902792947418,1.0,0.7973287148202088,0.5733496738205857
topic-variants-400ep-setty-20260907,setty,alpha,1.0,10,,transformer,2,0.8022650010060646,2.453823047590511,False,0.4826534636729865,0.7104852551100016,0.8376639445681762,0.3040987055443194,0.5949762433784206
topic-variants-400ep-setty-20260907,setty,control,0.0,10,,transformer,2,,,False,0.6404642958872894,0.894289280699017,1.0,0.7654656350742391,0.6200425544131347
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,0.1,10,0.01,transformer,0,,1.000000010182718,True,0.42506530594838393,0.6464347012014355,1.0,,0.3799625167796645
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,1.0,10,0.01,transformer,0,0.7857228242071299,5.417200515808225,False,0.5731119460635336,0.7697768762677485,1.0,0.554359402856172,0.6128875405869003
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,5.0,10,0.01,transformer,0,0.8283281062822776,8.743724001916881,False,0.5681639762984665,0.8526681229520986,0.8376639445681762,0.4683749121408539,0.715513889745871
topic-variants-alpha-1000ep-fourbg-20260908,setty,control,0.0,10,0.01,transformer,0,,,False,0.6517299655142289,0.8779060695896396,1.0,0.7524086176064324,0.6115670030537689
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,0.1,10,0.01,transformer,1,,1.0000000073113309,True,0.4596059760918763,0.7344359494460915,1.0,,0.3893089698149185
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,1.0,10,0.01,transformer,1,0.8089827948900026,4.880035667245965,False,0.5765984193833731,0.8562178186924637,1.0,0.5957678438117728,0.6994605165737942
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,5.0,10,0.01,transformer,1,0.8218697367915299,8.771924939764899,False,0.5685660447048733,0.8359338430332345,1.0,0.5656851146942685,0.693805322591509
topic-variants-alpha-1000ep-fourbg-20260908,setty,control,0.0,10,0.01,transformer,1,,,False,0.6518834925017137,0.9925495397097831,0.8376639445681762,0.7786956852712643,0.6005655434797158
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,0.1,10,0.01,transformer,2,,1.0000000138453535,True,0.3711463239317706,0.6393353097207053,1.0,,0.35971994577480215
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,1.0,10,0.01,transformer,2,0.7986870816256123,5.108431315196903,False,0.5705176963311455,0.9000624122327976,0.8376639445681762,0.6351147666578467,0.6691077648068546
topic-variants-alpha-1000ep-fourbg-20260908,setty,alpha,5.0,10,0.01,transformer,2,0.799945692370992,8.90708906692545,False,0.546493443890407,0.7705180215322203,1.0,0.36503707484663,0.6432677518521482
topic-variants-alpha-1000ep-fourbg-20260908,setty,control,0.0,10,0.01,transformer,2,,,False,0.640480337931531,0.9047433296926197,1.0,0.7637414773482673,0.6255899808372716
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,0.1,10,0.01,transformer,0,0.9037189808151995,1.000000008890012,False,0.31227270180470845,0.9433045891565071,0.5606632021776788,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,1.0,10,0.01,transformer,0,0.8437678492785309,3.540037970029702,False,0.5965714937583521,0.8231737535930221,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,5.0,10,0.01,transformer,0,0.8782845607209748,7.372621564665323,False,0.598284561662385,0.9190207156308852,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,control,0.0,10,0.01,transformer,0,,,False,0.7205910824288648,0.9219942511646347,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,0.1,10,0.01,transformer,1,0.8612363478323946,1.0000371720208114,False,0.3633734554417751,0.9511348993953811,0.44951249690670625,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,1.0,10,0.01,transformer,1,0.8586718023645279,3.205381578092149,False,0.5925596830730301,0.8968183169788879,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,5.0,10,0.01,transformer,1,0.8883516516195616,7.331117246896246,False,0.6125252969708822,0.9025671523441372,1.0,,
