lane,family,variant,dataset,axis,value,n_components,seed,raag_version,allocation_status,allocation_quotable,allocation_degenerate,branch_quotable,allocation_coherence,allocation_perplexity_mean,reachability_survival,edge_survival,separation_survival,branch_knn_mean_r2,mixture_effective_components,softmax_coordinate_coherence,softmax_coordinate_perplexity
topic-transformer,Topic,transformer,lung,alpha,2.0,10,0,RAAG-v2-exact-20260921,valid,False,False,True,,3.7305749990690056,1.0,0.41272770353105065,0.6215241921856518,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,5.0,10,0,RAAG-v2-exact-20260921,valid,False,False,True,,6.547332822474196,1.0,0.3955303113820622,0.6438857700756652,nan,nan,,
topic-transformer,Topic,transformer,lung,control,0.0,10,0,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6312437282332802,0.8895814949024614,nan,nan,0.7345274429898697,8.684522518558204
topic-transformer,Topic,transformer,lung,alpha,0.1,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.5731054892696054,1.305282629433358,1.0,0.3465215706317176,0.5451831546534988,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,0.5,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.5149818340058818,1.8129345388002145,1.0,0.3665018787827368,0.6270254032030942,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,1.0,10,1,RAAG-v2-exact-20260921,valid,True,False,True,0.5344314357070394,2.7245282519769467,1.0,0.3842133113476264,0.5837667336324891,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,2.0,10,1,RAAG-v2-exact-20260921,valid,False,False,True,,4.324855073678595,1.0,0.4040358928072602,0.7004186928521807,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,5.0,10,1,RAAG-v2-exact-20260921,valid,False,False,True,,6.228885865659691,1.0,0.38304371543611077,0.6173184881996208,nan,nan,,
topic-transformer,Topic,transformer,lung,control,0.0,10,1,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6313322708222655,0.8699048083963876,nan,nan,0.6967882089253223,8.773913565025628
topic-transformer,Topic,transformer,lung,alpha,0.1,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.5333923030681935,1.0739483042334947,1.0,0.3912712142745789,0.623345412215317,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,0.5,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.5538202209013527,1.7309064070062554,1.0,0.42908840417493876,0.6599387919866319,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,1.0,10,2,RAAG-v2-exact-20260921,valid,True,False,True,0.5840409765702312,2.7321741842986556,1.0,0.43742844451794405,0.6703403991663693,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,2.0,10,2,RAAG-v2-exact-20260921,valid,False,False,True,,3.9455709274568966,1.0,0.434652085478917,0.6697771352396688,nan,nan,,
topic-transformer,Topic,transformer,lung,alpha,5.0,10,2,RAAG-v2-exact-20260921,valid,False,False,True,,6.426985231547854,1.0,0.4213492692105203,0.6630742945119318,nan,nan,,
topic-transformer,Topic,transformer,lung,control,0.0,10,2,RAAG-v2-exact-20260921,non_native,False,False,True,,,1.0,0.6321940853550558,0.8647040048065189,nan,nan,0.7038987116986173,8.882256269158754
